id	filename	md5	size	state
02f13d48-a03a-42e8-917d-e5d9025e2898	02f13d48-a03a-42e8-917d-e5d9025e2898/c56a5910-5ae3-434a-9093-a4b264a644fd.rna_seq.augmented_star_gene_counts.tsv	13f0fc182ec59658b3dc2f039067767f	4246134	validated
09b9e5e0-8901-452c-8c4b-baca1faddddc	09b9e5e0-8901-452c-8c4b-baca1faddddc/62166c5e-1359-40e2-a83f-5a5b8447f15c.rna_seq.augmented_star_gene_counts.tsv	75fd6cb0280ae5df82122a51ebab40fd	4263382	validated
0bbde4ab-4f9d-478b-a168-055e489b53f2	0bbde4ab-4f9d-478b-a168-055e489b53f2/06a9adb9-0cc7-4e06-abbe-894f1883ed9f.rna_seq.augmented_star_gene_counts.tsv	11ecfc20c0de0c722c8237ad7123432f	4247601	validated
0c1c9170-9092-449e-afc2-0ef1d28ae07e	0c1c9170-9092-449e-afc2-0ef1d28ae07e/c0ef5bce-a76c-4fe7-99a6-9e3045eedea6.rna_seq.augmented_star_gene_counts.tsv	cee6b18ce39fe57451932efe07956f74	4245483	validated
114e63e4-03a5-409e-835f-afa8af005d03	114e63e4-03a5-409e-835f-afa8af005d03/7dd55f05-23aa-407f-8214-5584d1130569.rna_seq.augmented_star_gene_counts.tsv	b0338351a944121e8812a35d7e60dd18	4241529	validated
17a7a252-7530-4f12-8cd8-50a049a1e653	17a7a252-7530-4f12-8cd8-50a049a1e653/97ed0f9c-f670-4da8-92d6-163ad4088402.rna_seq.augmented_star_gene_counts.tsv	253781ba8dfac68cf8a7656f493f66c6	4236629	validated
1c5ca894-35e2-40f0-9d1a-38d25f6d6d78	1c5ca894-35e2-40f0-9d1a-38d25f6d6d78/ffce7349-cdf4-48b0-9238-da324d638e95.rna_seq.augmented_star_gene_counts.tsv	572ebb987b219095497086a530224322	4247137	validated
1e1f9cde-c6e0-4925-944f-12d354ef858e	1e1f9cde-c6e0-4925-944f-12d354ef858e/9369d3f6-e196-49a8-b42c-68a29c637425.rna_seq.augmented_star_gene_counts.tsv	ece2713e6d18e20359454f97418a6ad4	4238541	validated
2a8ed8a3-37a6-4492-823c-a86f392d0c44	2a8ed8a3-37a6-4492-823c-a86f392d0c44/3fe12cfa-5042-4625-ac9a-c1be80013643.rna_seq.augmented_star_gene_counts.tsv	62433ac7e48ccedcad44b1b35581b192	4254360	validated
2b393323-81e3-49e2-9acd-18eb8ab0c563	2b393323-81e3-49e2-9acd-18eb8ab0c563/d96fc441-a213-4f24-b2b1-a23d63883532.rna_seq.augmented_star_gene_counts.tsv	1ad92ea205ed7df4163dfe60ad5e57df	4229140	validated
304948c1-e699-44b0-814d-defc3a1119f3	304948c1-e699-44b0-814d-defc3a1119f3/02ea1ad2-181d-4357-a895-2754436c31d7.rna_seq.augmented_star_gene_counts.tsv	d775c4c42df21d51a73bea019ec4923d	4225009	validated
34fd315d-cfd8-4d85-8114-22311d55a1fc	34fd315d-cfd8-4d85-8114-22311d55a1fc/30478577-87f7-4906-9eec-1cba0d2cac85.rna_seq.augmented_star_gene_counts.tsv	74504eb462545a1b89af6f6feb8aca19	4242838	validated
